order_id,order_date,customer_name,email,country,product,quantity,unit_price,status,discount_code
ORD-1146,2025-09-29,Tariq Sheikh,tariq.sheikh@example.invalid,  United Kingdom,Webcam 1080p ,5,60.16,Cancelled, SAVE10
ORD-1019,02/04/2026,Imran Qureshi,imran.qureshi@example.invalid,Pakistan,mechanical keyboard,2,9.46,cancelled,
ORD-1095,10/09/2025,Kamran Qureshi,kamran.qureshi@example.invalid,pakistan,USB-C Hub ,2,31.34,cancelled,SAVE10
ORD-1064,2025-12-13,Rabia Ahmed,rabia.ahmed@example.invalid,pakistan,Laptop Stand,2,52.07,shipped,SAVE10
ORD-1129,2026-02-20,Zara Ahmed,zara.ahmed@example.invalid,UK ,  USB-C Hub,3,164.81,N/A,
ORD-1063,2025-12-27,Tariq Siddiqui,-,Ireland,Webcam 1080p,5,55.29,SHIPPED,
ORD-1119,18/01/2026,  Hina Raza ,hina.raza@example.invalid,UK ,Mechanical Keyboard,4,133.74,shipped,
ORD-1128,2025-08-21,Bilal Farooq,bilal.farooq@example.invalid,Ireland,Wireless Mouse,5,113.73,cancelled,
ORD-1109,2025-09-17,  Imran Khan ,imran.khan@example.invalid,-,Desk Lamp,5,43.27,pending,
ORD-1105,2025-11-11,  Sana Malik ,sana.malik@example.invalid,ireland,Webcam 1080p,1,154.08,pending, SAVE10
ORD-1015,09/25/2025,Tariq Ahmed,tariq.ahmed@example.invalid,Pakistan,Wireless Mouse,3,75.33,Shipped,WELCOME
ORD-1012,19/08/2025,NADIA RAZA,nadia.raza@example.invalid,UK ,Desk Lamp,4,149.91,Cancelled,SAVE10
ORD-1112,2025-12-06,Mariam Qureshi,mariam.qureshi@example.invalid,Ireland,Laptop Stand,4,62.5,cancelled,
ORD-1097,2025-11-30,Sana Ahmed,sana.ahmed@example.invalid,  United Kingdom,Laptop Stand,1,136.29,shipped,
ORD-1143,2025-10-24,Mariam Malik,mariam.malik@example.invalid,PAKISTAN,Monitor Arm,1,112.9,Pending, SAVE10
ORD-1074,2025-12-26,Ayesha Raza,ayesha.raza@example.invalid,PAKISTAN,Laptop Stand,null,118.93,cancelled, SAVE10
ORD-1073,2025-11-10,Bilal Ahmed,bilal.ahmed@example.invalid,Pakistan,Laptop Stand,2,18.99,Pending,
ORD-1088,2026-02-02,Usman Farooq,N/A,united kingdom,USB-C Hub,5,74.54,Cancelled,SAVE10
ORD-1036,2025-12-23,  Bilal Raza ,bilal.raza@example.invalid,Pakistan,USB-C Hub,5,171.7,Cancelled,SAVE10
ORD-1114,2026-01-07,OMAR RAZA,omar.raza@example.invalid,PAKISTAN,  Desk Lamp,3,37.14,SHIPPED,SAVE10
ORD-1113,2026-01-27,Sana Malik,sana.malik@example.invalid,United Kingdom,Wireless Mouse,2,116.44,Cancelled,WELCOME
ORD-1145,2025-09-16,Kamran Siddiqui,kamran.siddiqui@example.invalid,uk,Laptop Stand,3,125.93,delivered, SAVE10
ORD-1070,2025-09-06,Rabia Butt,rabia.butt@example.invalid,  United Kingdom,Desk Lamp,2,15.95,Shipped,welcome
ORD-1140,2025-11-01,Imran Butt,imran.butt@example.invalid,  United Kingdom,USB-C Hub,1,99.85,Delivered,save10
ORD-1005,2025-08-15,ZARA QURESHI,zara.qureshi@example.invalid,Ireland,Cable Organiser,1,58.89,null,save10
ORD-1004,2025-11-18,Imran Raza,imran.raza@example.invalid,PAKISTAN,Wireless Mouse,2,  ,Pending, SAVE10
ORD-1002,01/31/2026,Tariq Ahmed,tariq.ahmed@example.invalid,uk,Mechanical Keyboard,5,104.44,shipped,SAVE10
ORD-1106,02/12/2025,  Nadia Qureshi ,nadia.qureshi@example.invalid,united kingdom,Webcam 1080p,5,155.47,SHIPPED,welcome
ORD-1140,2025-11-01,Imran Butt,imran.butt@example.invalid,  United Kingdom,  USB-C Hub,1,99.85,Delivered,WELCOME
ORD-1071,2026-01-11,  Sana Sheikh ,sana.sheikh@example.invalid,uk,Laptop Stand,5,47.78,Shipped,welcome
ORD-1031,13/02/2026,Usman Malik,usman.malik@example.invalid,uk,USB-C Hub,4,48.87,-,WELCOME
ORD-1029,23/08/2025,Mariam Butt,mariam.butt@example.invalid,ireland,  Wireless Mouse,2,113.63,shipped,SAVE10
ORD-1008,2026-02-13,Ayesha Butt,ayesha.butt@example.invalid,Ireland,Mechanical Keyboard,4,69.67,Cancelled,welcome
ORD-1106,02/12/2025,  Nadia Qureshi ,nadia.qureshi@example.invalid,united kingdom,webcam 1080p,5,155.47,SHIPPED,welcome
ORD-1068,2025-10-15,Tariq Siddiqui,tariq.siddiqui@example.invalid,ireland,Wireless Mouse,1,24.67,delivered,WELCOME
ORD-1066,2026-01-13,Laila Ahmed,laila.ahmed@example.invalid,  United Kingdom,Wireless Mouse,1,139.9,cancelled,welcome
ORD-1101,10/27/2025,Bilal Khan,bilal.khan@example.invalid,United Kingdom,Monitor Arm,4,11.88,SHIPPED,
ORD-1055,2025-11-07,Usman Malik,usman.malik@example.invalid,pakistan,Cable Organiser,5,133.05,SHIPPED,WELCOME
ORD-1096,2026-02-17,Faisal Ahmed,faisal.ahmed@example.invalid,UK ,Desk Lamp,2,88.97,delivered,WELCOME
ORD-1039,2025-11-29,Bilal Malik,bilal.malik@example.invalid,pakistan,Desk Lamp,4,67.59,cancelled,welcome
ORD-1090,2025-10-22,Tariq Ahmed,tariq.ahmed@example.invalid,United Kingdom,Webcam 1080p,5,50.77,cancelled,welcome
ORD-1048,2025-08-25,Bilal Malik,bilal.malik@example.invalid,Pakistan,Desk Lamp ,4,  ,delivered,WELCOME
ORD-1083,2026-01-06,  Ayesha Butt ,ayesha.butt@example.invalid,UK ,WIRELESS MOUSE,2,97.1,Shipped,
ORD-1089,2025-12-10,MARIAM KHAN,mariam.khan@example.invalid,Ireland,Cable Organiser,3,147.67,shipped,
ORD-1076,2025-10-23,Laila Malik,laila.malik@example.invalid,uk,Webcam 1080p,1,161.24,pending,
ORD-1141,2026-01-20,Kamran Qureshi,kamran.qureshi@example.invalid,ireland,usb-c hub,3,186.88,Pending,SAVE10
ORD-1013,2025-10-24,Usman Farooq,usman.farooq@example.invalid,  United Kingdom,Mechanical Keyboard,2,61.38,Cancelled,save10
ORD-1020,2025-12-23,Rabia Raza,rabia.raza@example.invalid,pakistan,Monitor Arm,5,158.59,Pending,SAVE10
ORD-1007,2026-01-20,Kamran Siddiqui,kamran.siddiqui@example.invalid,Pakistan,Laptop Stand,2,158.85,Shipped,welcome
ORD-1016,05/01/2026,Faisal Khan,faisal.khan@example.invalid,united kingdom,Desk Lamp,3,181.16,Delivered,SAVE10
ORD-1093,10/03/2025,  Zara Chaudhry ,zara.chaudhry@example.invalid,UK ,Monitor Arm,3,90.17,,
ORD-1122,2025-12-03,Kamran Ahmed,kamran.ahmed@example.invalid,,usb-c hub,5,77.22,delivered, SAVE10
ORD-1137,2025-10-31,  HINA BUTT ,hina.butt@example.invalid,uk,Mechanical Keyboard,2,124.65,Pending,welcome
ORD-1061,2025-08-12,Imran Butt,imran.butt@example.invalid,uk,  Mechanical Keyboard,2,154.45,delivered, SAVE10
ORD-1049,2026-02-04,Usman Chaudhry,usman.chaudhry@example.invalid,  United Kingdom,Desk Lamp,1,130.08,shipped,welcome
ORD-1087,2025-08-04,Ayesha Khan,ayesha.khan@example.invalid,PAKISTAN,Wireless Mouse,5,153.07,cancelled, SAVE10
ORD-1116,2025-08-16,Zara Chaudhry,zara.chaudhry@example.invalid,UK ,Monitor Arm,  ,157.76,Cancelled,
ORD-1081,2025-08-25,  MARIAM SIDDIQUI ,mariam.siddiqui@example.invalid,UK ,Mechanical Keyboard,2,104.39,Pending,save10
ORD-1144,2025-12-28,Kamran Sheikh,kamran.sheikh@example.invalid,united kingdom,  Desk Lamp,5,61.29,Delivered,
ORD-1100,2025-11-14,  TARIQ AHMED ,tariq.ahmed@example.invalid,  United Kingdom,Cable Organiser,2,23.29,Shipped,SAVE10
ORD-1138,2026-01-24,Omar Butt,omar.butt@example.invalid,Ireland,Wireless Mouse,4,172.85,shipped,
ORD-1043,2026-01-28,Bilal Farooq,bilal.farooq@example.invalid,,Monitor Arm,4,20.0,-, SAVE10
ORD-1047,2025-11-30,Laila Raza,laila.raza@example.invalid,UK ,Webcam 1080p,4,174.5,cancelled,welcome
ORD-1011,2025-10-17,Omar Raza,omar.raza@example.invalid,ireland,Mechanical Keyboard,4,61.34,cancelled,welcome
ORD-1034,2025-09-12,  ZARA MALIK ,zara.malik@example.invalid,Pakistan,Webcam 1080p,4,72.18,cancelled,WELCOME
ORD-1079,2025-12-27,Zara Qureshi,  ,UK ,wireless mouse,5,18.82,delivered,WELCOME
ORD-1056,2026-01-16,Rabia Malik,rabia.malik@example.invalid,PAKISTAN,Cable Organiser,5,16.28,Pending,save10
ORD-1045,2025-08-25,BILAL SHEIKH,bilal.sheikh@example.invalid,Pakistan,monitor arm,3,182.74,SHIPPED,welcome
ORD-1042,12/26/2025,  Omar Raza ,omar.raza@example.invalid,UK ,Mechanical Keyboard,4,  ,Delivered,welcome
ORD-1021,2025-12-09,Nadia Qureshi,nadia.qureshi@example.invalid,PAKISTAN,  Desk Lamp,2,32.04,delivered, SAVE10
ORD-1118,2025-11-08,Hina Ahmed,hina.ahmed@example.invalid,uk,cable organiser,1,85.22,cancelled,WELCOME
ORD-1135,2025-09-24,Kamran Khan,kamran.khan@example.invalid,PAKISTAN,Webcam 1080p,3,156.79,shipped,WELCOME
ORD-1017,08/07/2025,Omar Sheikh,omar.sheikh@example.invalid,uk,Mechanical Keyboard,4,173.51,delivered,
ORD-1001,2026-01-30,Nadia Chaudhry,nadia.chaudhry@example.invalid,united kingdom,USB-C Hub,5,88.03,pending,welcome
ORD-1108,10/24/2025,Laila Qureshi,laila.qureshi@example.invalid,United Kingdom,  Mechanical Keyboard,4,105.44,cancelled,
ORD-1097,2025-11-30,Sana Ahmed,sana.ahmed@example.invalid,  United Kingdom,  Laptop Stand,1,136.29,shipped,WELCOME
ORD-1111,2025-11-05,Bilal Qureshi,bilal.qureshi@example.invalid,N/A,Laptop Stand,4,151.01,Shipped, SAVE10
ORD-1014,02/01/2026,Hina Chaudhry,hina.chaudhry@example.invalid,Ireland,Laptop Stand,4,50.82,Cancelled,WELCOME
ORD-1094,2026-02-11,  Bilal Raza ,bilal.raza@example.invalid,UK ,Monitor Arm,2,49.71,Cancelled,
ORD-1054,01/09/2026,Hina Butt,hina.butt@example.invalid,ireland,mechanical keyboard,3,27.84,Shipped,WELCOME
ORD-1040,2026-01-17,Faisal Malik,faisal.malik@example.invalid,-,monitor arm,3,59.69,pending,WELCOME
ORD-1086,04/11/2025,Ayesha Chaudhry,ayesha.chaudhry@example.invalid,UK ,USB-C Hub,N/A,141.69,cancelled, SAVE10
ORD-1102,2026-01-25,Zara Malik,zara.malik@example.invalid,UK ,wireless mouse,5,119.5,Pending, SAVE10
ORD-1046,2025-11-22,Bilal Khan,bilal.khan@example.invalid,united kingdom,Mechanical Keyboard,4,74.78,Delivered,SAVE10
ORD-1120,2026-02-04,RABIA SIDDIQUI,rabia.siddiqui@example.invalid,  United Kingdom,Cable Organiser,2,16.45,Pending,save10
ORD-1005,2025-08-15,ZARA QURESHI,zara.qureshi@example.invalid,Ireland,Cable Organiser,1,58.89,null,SAVE10
ORD-1131,2026-01-28,  Zara Khan ,zara.khan@example.invalid,Pakistan,Webcam 1080p,3,10.19,pending,WELCOME
ORD-1142,2026-01-14,Tariq Butt,tariq.butt@example.invalid,  United Kingdom,Wireless Mouse,5,80.25,pending,WELCOME
ORD-1121,2025-08-04,ZARA AHMED,zara.ahmed@example.invalid,ireland,  Laptop Stand,3,184.81,delivered,welcome
ORD-1006,19/09/2025,Laila Malik,laila.malik@example.invalid,pakistan,monitor arm,4,21.15,cancelled, SAVE10
ORD-1059,2025-12-26,Usman Chaudhry,usman.chaudhry@example.invalid,uk,Desk Lamp,5,156.63,Shipped,
ORD-1033,2025-11-03,  Nadia Farooq ,,,Mechanical Keyboard,1,21.47,Cancelled,save10
ORD-1037,2025-10-05,Faisal Siddiqui,faisal.siddiqui@example.invalid,pakistan,Cable Organiser,2,18.05,SHIPPED,
ORD-1058,2025-11-25,Imran Malik,imran.malik@example.invalid,United Kingdom,  Webcam 1080p,2,148.99,pending, SAVE10
ORD-1027,2025-08-24,MARIAM KHAN,mariam.khan@example.invalid,pakistan,Wireless Mouse,2,21.59,Cancelled,
ORD-1082,2025-11-12,  Faisal Ahmed ,faisal.ahmed@example.invalid,pakistan,Monitor Arm,1,89.24,pending,
ORD-1032,23/08/2025,Tariq Raza,tariq.raza@example.invalid,ireland,Webcam 1080p,4,96.04,Cancelled,WELCOME
ORD-1115,2025-08-26,KAMRAN QURESHI,kamran.qureshi@example.invalid,  United Kingdom,Webcam 1080p,1,137.98,pending, SAVE10
ORD-1012,19/08/2025,NADIA RAZA,nadia.raza@example.invalid,UK ,Desk Lamp,4,149.91,Cancelled,save10
ORD-1136,2025-12-11,Zara Ahmed,zara.ahmed@example.invalid,united kingdom,Cable Organiser,5,107.12,cancelled,SAVE10
ORD-1092,12/20/2025,Tariq Khan,tariq.khan@example.invalid,United Kingdom,USB-C Hub,2,103.19,Cancelled,
ORD-1009,2025-10-13,OMAR AHMED,omar.ahmed@example.invalid,pakistan,Wireless Mouse,4,115.6,-,SAVE10
ORD-1065,02/02/2026,Tariq Sheikh,tariq.sheikh@example.invalid,pakistan,Monitor Arm,4,88.99,delivered,
ORD-1099,2025-12-22,  Omar Ahmed ,omar.ahmed@example.invalid,UK ,Mechanical Keyboard,2,42.66,Shipped,
ORD-1023,2025-11-17,Hina Sheikh,hina.sheikh@example.invalid,UK ,Wireless Mouse,5,122.89,shipped,SAVE10
ORD-1038,2025-11-23,Sana Farooq,sana.farooq@example.invalid,uk,Cable Organiser ,5,119.04,cancelled,
ORD-1126,2026-02-02,Ayesha Siddiqui,ayesha.siddiqui@example.invalid,Ireland,Laptop Stand ,2,183.92,SHIPPED,
ORD-1028,2025-11-23,Mariam Qureshi,mariam.qureshi@example.invalid,uk,Cable Organiser,3,15.0,Delivered,welcome
ORD-1022,12/21/2025,Imran Malik,imran.malik@example.invalid,N/A,USB-C Hub,1,145.99,shipped,
ORD-1003,2025-09-15,  Tariq Siddiqui ,tariq.siddiqui@example.invalid,united kingdom,  Wireless Mouse,4,30.58,delivered,SAVE10
ORD-1000,2026-01-14,Rabia Butt,rabia.butt@example.invalid,united kingdom,CABLE ORGANISER,5,74.69,pending,
ORD-1060,2025-08-14,Laila Chaudhry,laila.chaudhry@example.invalid,pakistan,Mechanical Keyboard,3,166.15,Shipped,SAVE10
ORD-1084,31/10/2025,Nadia Siddiqui,nadia.siddiqui@example.invalid,  United Kingdom,webcam 1080p,1,147.29,SHIPPED,WELCOME
ORD-1123,2025-11-06,Rabia Farooq,rabia.farooq@example.invalid,PAKISTAN,Mechanical Keyboard,3,109.48,shipped,save10
ORD-1053,2025-09-02,Sana Chaudhry,sana.chaudhry@example.invalid,Pakistan,Desk Lamp,3,160.81,Cancelled, SAVE10
ORD-1149,2026-02-03,HINA AHMED,hina.ahmed@example.invalid,UK ,Webcam 1080p,2,145.42,cancelled, SAVE10
ORD-1010,2026-01-31,Kamran Khan,kamran.khan@example.invalid,United Kingdom,Wireless Mouse,2,98.46,Cancelled, SAVE10
ORD-1041,01/28/2026,Mariam Chaudhry,mariam.chaudhry@example.invalid,united kingdom,MONITOR ARM,3,27.28,cancelled,WELCOME
ORD-1075,2025-11-25,Kamran Sheikh,kamran.sheikh@example.invalid,uk,Monitor Arm,3,182.29,SHIPPED,
ORD-1104,16/12/2025,Omar Siddiqui,omar.siddiqui@example.invalid,pakistan,Desk Lamp,5,98.19,cancelled,
ORD-1091,11/06/2025,Faisal Chaudhry,faisal.chaudhry@example.invalid,united kingdom,Wireless Mouse,4,10.86,Delivered,
ORD-1147,03/09/2025,Imran Khan,imran.khan@example.invalid,,  USB-C Hub,4,103.2,Shipped,WELCOME
ORD-1121,2025-08-04,ZARA AHMED,zara.ahmed@example.invalid,ireland,Laptop Stand ,3,184.81,Delivered,WELCOME
ORD-1067,29/11/2025,Mariam Qureshi,mariam.qureshi@example.invalid,Ireland,Mechanical Keyboard,4,55.51,Cancelled, SAVE10
ORD-1051,2026-01-12,  Hina Malik ,hina.malik@example.invalid,pakistan,mechanical keyboard,4,114.58,Cancelled,welcome
ORD-1050,2025-09-15,Rabia Sheikh,rabia.sheikh@example.invalid,Ireland,Cable Organiser ,2,152.09,SHIPPED,WELCOME
ORD-1127,2025-09-22,Hina Khan,hina.khan@example.invalid,pakistan,Webcam 1080p,3,172.72,pending,
ORD-1027,2025-08-24,MARIAM KHAN,mariam.khan@example.invalid,pakistan,wireless mouse,2,21.59,Cancelled,WELCOME
ORD-1029,23/08/2025,Mariam Butt,mariam.butt@example.invalid,ireland,Wireless Mouse,2,113.63,shipped,save10
ORD-1072,2026-01-25,Imran Khan,imran.khan@example.invalid,Pakistan,Laptop Stand,4,19.43,Shipped,
ORD-1030,02/12/2026,Kamran Farooq,kamran.farooq@example.invalid,  United Kingdom,Monitor Arm,5,67.04,SHIPPED,welcome
ORD-1130,2025-10-31,  Rabia Farooq ,rabia.farooq@example.invalid,PAKISTAN,Laptop Stand,5,117.58,delivered,
ORD-1026,2025-12-16,Sana Qureshi,,pakistan,MECHANICAL KEYBOARD,2,61.25,Shipped,WELCOME
ORD-1052,2025-11-11,AYESHA SHEIKH,ayesha.sheikh@example.invalid,uk,Desk Lamp,3,42.47,Shipped,
ORD-1035,2025-10-12,Bilal Malik,bilal.malik@example.invalid,pakistan,USB-C Hub,1,22.86,delivered, SAVE10
ORD-1113,2026-01-27,Sana Malik,sana.malik@example.invalid,United Kingdom,Wireless Mouse,2,116.44,Cancelled,
ORD-1069,2026-02-20,Kamran Chaudhry,kamran.chaudhry@example.invalid,UK ,Monitor Arm,2,188.21,delivered,welcome
ORD-1133,2025-11-18,Faisal Ahmed,faisal.ahmed@example.invalid,united kingdom,Desk Lamp,N/A,100.54,Cancelled,welcome
ORD-1025,2025-12-19,  Sana Khan ,sana.khan@example.invalid,pakistan,Laptop Stand,2,41.53,SHIPPED, SAVE10
ORD-1107,2026-02-08,Ayesha Sheikh,ayesha.sheikh@example.invalid,pakistan,Laptop Stand,2,49.67,cancelled,
ORD-1077,2026-01-19,Rabia Butt,rabia.butt@example.invalid,ireland,  Wireless Mouse,2,96.82,Delivered,SAVE10
