order_id,order_date,customer_name,email,country,product,quantity,unit_price,status
ORD-1059,2025-06-24,Tariq Ahmed,tariq.ahmed@example.invalid,PAKISTAN,USB-C Hub,4,181.84,Shipped
ORD-1115,2025-04-18,Zara Ahmed,zara.ahmed@example.invalid,,Cable Organiser,1,23.15,pending
ORD-1014,2025-01-23,Laila Siddiqui,laila.siddiqui@example.invalid,UK,Monitor Arm,2,176.03,Delivered
ORD-1024,2025-01-26,Kamran Malik,kamran.malik@example.invalid,UK,Mechanical Keyboard,5,115.0,pending
ORD-1110,2025-03-07,Faisal Qureshi,faisal.qureshi@example.invalid,United Kingdom,USB-C Hub,1,93.41,Shipped
ORD-1153,2025-04-07,Laila Ahmed,laila.ahmed@example.invalid,UK,Desk Lamp,2,158.05,cancelled
ORD-1130,2025-07-23,Tariq Qureshi,tariq.qureshi@example.invalid,UK,Laptop Stand,5,34.4,pending
ORD-1108,2025-05-27,Omar Raza,omar.raza@example.invalid,United Kingdom,Wireless Mouse,3,163.16,cancelled
ORD-1062,2025-03-09,Laila Chaudhry,laila.chaudhry@example.invalid,PAKISTAN,Laptop Stand,4,45.21,cancelled
ORD-1178,2025-04-16,Nadia Chaudhry,nadia.chaudhry@example.invalid,United Kingdom,Cable Organiser,3,104.45,cancelled
ORD-1069,2025-01-09,FAISAL BUTT,faisal.butt@example.invalid,PAKISTAN,Cable Organiser,1,156.54,cancelled
ORD-1162,2025-01-25,Faisal Malik,faisal.malik@example.invalid,PAKISTAN,USB-C Hub,1,140.76,cancelled
ORD-1003,2025-01-30,Tariq Qureshi,tariq.qureshi@example.invalid,United Kingdom,Monitor Arm,1,107.25,Delivered
ORD-1045,2025-07-01,Ayesha Ahmed,ayesha.ahmed@example.invalid,United Kingdom,Cable Organiser,1,108.23,Shipped
ORD-1039,2025-01-06,Nadia Siddiqui,nadia.siddiqui@example.invalid,United Kingdom,Desk Lamp,5,63.79,cancelled
ORD-1005,2025-04-13,Sana Chaudhry,sana.chaudhry@example.invalid,PAKISTAN,Webcam 1080p,1,117.67,Shipped
ORD-1116,2025-01-27,Bilal Farooq,bilal.farooq@example.invalid,PAKISTAN,Desk Lamp,1,81.47,Shipped
ORD-1055,2025-01-23,Laila Khan,laila.khan@example.invalid,United Kingdom,Mechanical Keyboard,2,92.92,pending
ORD-1027,2025-05-15,Sana Malik,sana.malik@example.invalid,UK,Webcam 1080p,5,186.05,pending
ORD-1043,2025-06-24,Mariam Raza,mariam.raza@example.invalid,United Kingdom,Wireless Mouse,1,51.18,pending
ORD-1093,2025-05-13,Rabia Raza,rabia.raza@example.invalid,PAKISTAN,Cable Organiser,3,130.16,pending
ORD-1064,2025-05-11,Nadia Sheikh,nadia.sheikh@example.invalid,PAKISTAN,Mechanical Keyboard,4,132.75,Delivered
ORD-1018,2025-03-09,Laila Chaudhry,laila.chaudhry@example.invalid,,Monitor Arm,4,91.73,Shipped
ORD-1158,2025-06-09,Kamran Malik,kamran.malik@example.invalid,PAKISTAN,Webcam 1080p,4,116.48,Shipped
ORD-1172,2025-01-13,Bilal Khan,bilal.khan@example.invalid,Ireland,Monitor Arm,5,123.12,
ORD-1084,2025-05-06,Omar Chaudhry,omar.chaudhry@example.invalid,PAKISTAN,Laptop Stand,1,56.92,pending
ORD-1016,2025-04-02,Ayesha Raza,ayesha.raza@example.invalid,Ireland,Wireless Mouse,2,18.8,pending
ORD-1072,2025-04-25,Sana Raza,sana.raza@example.invalid,Ireland,Mechanical Keyboard,3,127.03,Shipped
ORD-1046,2025-02-06,Imran Malik,imran.malik@example.invalid,Ireland,Cable Organiser,5,155.24,Delivered
ORD-1135,2025-05-14,Hina Khan,hina.khan@example.invalid,PAKISTAN,Mechanical Keyboard,4,187.35,Shipped
ORD-1021,2025-05-24,Kamran Khan,kamran.khan@example.invalid,United Kingdom,Monitor Arm,1,36.55,Shipped
ORD-1121,2025-06-17,Ayesha Ahmed,N/A,United Kingdom,Desk Lamp,3,138.19,cancelled
ORD-1127,2025-01-25,Kamran Qureshi,kamran.qureshi@example.invalid,Ireland,USB-C Hub,4,10.31,cancelled
ORD-1100,2025-05-05,Bilal Malik,bilal.malik@example.invalid,United Kingdom,Desk Lamp,,150.8,cancelled
ORD-1140,2025-07-21,Imran Sheikh,imran.sheikh@example.invalid,,USB-C Hub,5,147.18,Shipped
ORD-1168,2025-06-19,Bilal Chaudhry,bilal.chaudhry@example.invalid,Ireland,Laptop Stand,2,85.45,cancelled
ORD-1032,2025-04-10,Faisal Siddiqui,faisal.siddiqui@example.invalid,,Wireless Mouse,3,44.84,Shipped
ORD-1013,2025-01-10,Bilal Qureshi,bilal.qureshi@example.invalid,United Kingdom,USB-C Hub,1,140.07,pending
ORD-1008,2025-04-17,Rabia Chaudhry,rabia.chaudhry@example.invalid,UK,Monitor Arm,5,79.39,pending
ORD-1056,2025-02-04,Faisal Sheikh,faisal.sheikh@example.invalid,United Kingdom,USB-C Hub,2,182.56,cancelled
ORD-1131,2025-07-19,Mariam Ahmed,mariam.ahmed@example.invalid,PAKISTAN,Cable Organiser,5,123.85,Delivered
ORD-1033,2025-03-10,Mariam Ahmed,mariam.ahmed@example.invalid,Ireland,Mechanical Keyboard,2,184.66,cancelled
ORD-1146,2025-02-12,Kamran Farooq,kamran.farooq@example.invalid,United Kingdom,Monitor Arm,1,78.85,Delivered
ORD-1086,2025-05-09,Tariq Qureshi,tariq.qureshi@example.invalid,Ireland,Mechanical Keyboard,2,110.85,cancelled
ORD-1058,2025-06-15,Omar Ahmed,omar.ahmed@example.invalid,United Kingdom,Wireless Mouse,3,103.73,Shipped
ORD-1111,2025-07-24,Tariq Siddiqui,tariq.siddiqui@example.invalid,PAKISTAN,Webcam 1080p,4,123.91,Delivered
ORD-1103,2025-03-24,Mariam Farooq,mariam.farooq@example.invalid,United Kingdom,USB-C Hub,2,168.42,Shipped
ORD-1118,2025-03-04,Kamran Ahmed,kamran.ahmed@example.invalid,Ireland,Mechanical Keyboard,4,160.74,cancelled
ORD-1161,2025-03-07,Laila Qureshi,laila.qureshi@example.invalid,Ireland,Desk Lamp,3,87.52,Shipped
ORD-1001,2025-01-13,Bilal Sheikh,bilal.sheikh@example.invalid,Ireland,Monitor Arm,2,88.48,Shipped
ORD-1165,2025-07-06,Bilal Siddiqui,bilal.siddiqui@example.invalid,United Kingdom,Laptop Stand,3,99.35,Shipped
ORD-1137,2025-01-30,Nadia Farooq,nadia.farooq@example.invalid,Ireland,Laptop Stand,3,63.12,Shipped
ORD-1023,2025-03-02,Ayesha Raza,ayesha.raza@example.invalid,United Kingdom,Laptop Stand,1,181.84,cancelled
ORD-1157,2025-04-14,Tariq Malik,tariq.malik@example.invalid,PAKISTAN,USB-C Hub,,20.9,cancelled
ORD-1050,2025-04-23,Zara Raza,zara.raza@example.invalid,United Kingdom,Webcam 1080p,4,162.25,cancelled
ORD-1166,2025-02-06,Omar Malik,omar.malik@example.invalid,PAKISTAN,Cable Organiser,5,30.18,Shipped
ORD-1077,2025-06-09,Sana Khan,sana.khan@example.invalid,Ireland,Webcam 1080p,5,13.84,Shipped
ORD-1150,2025-06-14,Imran Ahmed,imran.ahmed@example.invalid,PAKISTAN,Mechanical Keyboard,2,59.66,Delivered
ORD-1022,2025-06-01,Zara Butt,zara.butt@example.invalid,PAKISTAN,Cable Organiser,2,41.16,pending
ORD-1174,2025-07-01,AYESHA MALIK,ayesha.malik@example.invalid,,Desk Lamp,3,140.49,Delivered
ORD-1149,2025-02-13,Nadia Raza,nadia.raza@example.invalid,UK,Mechanical Keyboard,4,123.11,
ORD-1170,2025-05-18,Rabia Butt,rabia.butt@example.invalid,United Kingdom,Laptop Stand,3,118.63,pending
ORD-1011,2025-04-27,Hina Chaudhry,,United Kingdom,USB-C Hub,3,160.1,Delivered
ORD-1007,2025-07-23,Ayesha Sheikh,ayesha.sheikh@example.invalid,PAKISTAN,Desk Lamp,2,126.12,cancelled
ORD-1082,2025-10-05,Bilal Khan,bilal.khan@example.invalid,Ireland,Wireless Mouse,5,80.96,pending
ORD-1099,2025-09-04,Nadia Siddiqui,nadia.siddiqui@example.invalid,UK,Webcam 1080p,3,153.27,pending
ORD-1041,2025-04-13,MARIAM MALIK,mariam.malik@example.invalid,United Kingdom,Webcam 1080p,,84.95,cancelled
ORD-1036,2025-03-05,OMAR KHAN,omar.khan@example.invalid,PAKISTAN,Webcam 1080p,3,123.57,cancelled
ORD-1025,2025-06-13,Bilal Farooq,bilal.farooq@example.invalid,Ireland,Desk Lamp,2,54.97,Delivered
ORD-1092,2025-02-12,Omar Siddiqui,omar.siddiqui@example.invalid,UK,Monitor Arm,5,131.17,Shipped
ORD-1061,2025-05-23,Laila Chaudhry,laila.chaudhry@example.invalid,Ireland,USB-C Hub,3,167.4,pending
ORD-1141,2025-07-14,Rabia Siddiqui,rabia.siddiqui@example.invalid,PAKISTAN,Laptop Stand,5,154.15,Shipped
ORD-1173,2025-05-13,Rabia Siddiqui,rabia.siddiqui@example.invalid,United Kingdom,Monitor Arm,3,89.27,Delivered
ORD-1104,2025-02-09,Zara Chaudhry,zara.chaudhry@example.invalid,Ireland,Monitor Arm,1,158.65,cancelled
ORD-1133,2025-05-15,Bilal Butt,bilal.butt@example.invalid,United Kingdom,USB-C Hub,5,114.92,Shipped
ORD-1144,2025-07-24,Zara Siddiqui,zara.siddiqui@example.invalid,UK,Webcam 1080p,1,,pending
ORD-1000,2025-06-18,Bilal Khan,bilal.khan@example.invalid,United Kingdom,USB-C Hub,5,83.5,pending
ORD-1159,2025-04-25,Hina Chaudhry,hina.chaudhry@example.invalid,,Wireless Mouse,1,128.99,cancelled
ORD-1098,2025-04-09,Usman Malik,usman.malik@example.invalid,,Laptop Stand,5,166.45,cancelled
ORD-1164,2025-05-11,Omar Ahmed,omar.ahmed@example.invalid,UK,USB-C Hub,3,128.38,Delivered
ORD-1126,2025-05-22,Usman Sheikh,usman.sheikh@example.invalid,PAKISTAN,Monitor Arm,1,90.41,Shipped
ORD-1060,2025-06-17,Rabia Chaudhry,rabia.chaudhry@example.invalid,PAKISTAN,Webcam 1080p,5,154.0,Shipped
ORD-1091,2025-04-27,Bilal Ahmed,bilal.ahmed@example.invalid,United Kingdom,Webcam 1080p,3,74.91,Shipped
ORD-1042,2025-06-03,Faisal Qureshi,faisal.qureshi@example.invalid,PAKISTAN,Laptop Stand,1,58.29,pending
ORD-1122,2025-07-23,Faisal Raza,faisal.raza@example.invalid,United Kingdom,USB-C Hub,3,87.37,Shipped
ORD-1012,2025-05-15,Faisal Sheikh,faisal.sheikh@example.invalid,UK,Wireless Mouse,5,65.66,Delivered
ORD-1037,2025-04-18,Mariam Siddiqui,mariam.siddiqui@example.invalid,United Kingdom,Webcam 1080p,1,26.28,Shipped
ORD-1029,2025-02-02,Usman Siddiqui,usman.siddiqui@example.invalid,United Kingdom,Webcam 1080p,5,95.66,pending
ORD-1148,2025-03-20,Rabia Chaudhry,rabia.chaudhry@example.invalid,UK,USB-C Hub,1,53.21,Delivered
ORD-1085,2025-04-22,Tariq Siddiqui,,United Kingdom,Cable Organiser,2,87.99,pending
ORD-1006,2025-02-18,Nadia Sheikh,nadia.sheikh@example.invalid,PAKISTAN,Mechanical Keyboard,3,160.32,pending
ORD-1155,2025-02-26,Rabia Khan,rabia.khan@example.invalid,United Kingdom,Cable Organiser,3,13.18,Delivered
ORD-1030,2025-01-19,Bilal Farooq,bilal.farooq@example.invalid,,Webcam 1080p,2,141.77,Shipped
ORD-1075,2025-04-03,MARIAM MALIK,mariam.malik@example.invalid,UK,Webcam 1080p,4,29.19,Shipped
ORD-1094,2025-02-15,Bilal Chaudhry,bilal.chaudhry@example.invalid,Ireland,Webcam 1080p,4,160.77,pending
ORD-1078,2025-07-18,Hina Chaudhry,hina.chaudhry@example.invalid,PAKISTAN,Cable Organiser,1,92.28,
ORD-1017,2025-01-14,Kamran Qureshi,kamran.qureshi@example.invalid,United Kingdom,Laptop Stand,5,111.66,pending
ORD-1124,2025-06-28,Faisal Chaudhry,faisal.chaudhry@example.invalid,United Kingdom,Wireless Mouse,1,43.81,Shipped
ORD-1160,2025-04-19,Tariq Siddiqui,tariq.siddiqui@example.invalid,UK,Cable Organiser,1,29.54,Shipped
ORD-1119,2025-07-21,Kamran Raza,kamran.raza@example.invalid,Ireland,Webcam 1080p,1,39.43,Shipped
ORD-1034,2025-02-20,Rabia Farooq,rabia.farooq@example.invalid,PAKISTAN,Mechanical Keyboard,3,35.55,cancelled
ORD-1068,2025-03-24,Ayesha Siddiqui,ayesha.siddiqui@example.invalid,United Kingdom,Laptop Stand,4,25.22,Shipped
ORD-1051,2025-04-23,Nadia Siddiqui,nadia.siddiqui@example.invalid,United Kingdom,Wireless Mouse,4,67.84,Delivered
ORD-1054,2025-07-19,Rabia Farooq,rabia.farooq@example.invalid,PAKISTAN,Wireless Mouse,3,47.42,pending
ORD-1147,2025-11-04,Omar Farooq,omar.farooq@example.invalid,PAKISTAN,Desk Lamp,2,31.61,pending
ORD-1065,2025-03-25,Mariam Raza,mariam.raza@example.invalid,Ireland,Desk Lamp,3,134.77,Delivered
ORD-1113,2025-02-12,Bilal Malik,bilal.malik@example.invalid,Ireland,Webcam 1080p,4,98.76,Delivered
ORD-1138,2025-06-22,Usman Farooq,usman.farooq@example.invalid,UK,Desk Lamp,2,128.8,pending
ORD-1020,2025-03-18,Imran Sheikh,imran.sheikh@example.invalid,UK,USB-C Hub,1,125.52,Delivered
ORD-1145,2025-04-11,Nadia Ahmed,nadia.ahmed@example.invalid,Ireland,Webcam 1080p,4,171.72,Shipped
ORD-1010,2025-04-13,Faisal Chaudhry,null,Ireland,Webcam 1080p,3,26.86,Shipped
ORD-1074,2025-03-20,Usman Butt,usman.butt@example.invalid,PAKISTAN,Mechanical Keyboard,4,27.45,Shipped
ORD-1088,2025-02-07,Nadia Raza,nadia.raza@example.invalid,UK,Wireless Mouse,2,81.32,Delivered
ORD-1101,2025-01-09,Sana Siddiqui,sana.siddiqui@example.invalid,PAKISTAN,Desk Lamp,1,129.66,pending
ORD-1097,2025-03-03,Mariam Sheikh,mariam.sheikh@example.invalid,UK,Webcam 1080p,4,12.59,Shipped
ORD-1163,2025-05-13,Nadia Farooq,nadia.farooq@example.invalid,UK,Mechanical Keyboard,5,58.62,pending
ORD-1031,2025-05-27,Usman Farooq,usman.farooq@example.invalid,UK,Laptop Stand,5,13.08,Shipped
ORD-1151,2025-01-06,Faisal Qureshi,faisal.qureshi@example.invalid,PAKISTAN,Desk Lamp,1,180.5,Shipped
ORD-1070,2025-04-18,Imran Ahmed,imran.ahmed@example.invalid,United Kingdom,Webcam 1080p,1,187.89,Shipped
ORD-1089,2025-06-22,Hina Ahmed,hina.ahmed@example.invalid,United Kingdom,USB-C Hub,3,162.05,cancelled
ORD-1171,2025-01-29,Nadia Malik,nadia.malik@example.invalid,Ireland,Desk Lamp,5,14.02,Shipped
ORD-1081,2025-05-18,Tariq Raza,tariq.raza@example.invalid,PAKISTAN,Webcam 1080p,,167.25,Shipped
ORD-1125,2025-03-01,Laila Malik,laila.malik@example.invalid,United Kingdom,Monitor Arm,2,,cancelled
ORD-1175,2025-04-04,Zara Malik,zara.malik@example.invalid,Ireland,USB-C Hub,3,88.55,Delivered
ORD-1073,2025-02-15,Omar Malik,omar.malik@example.invalid,UK,Cable Organiser,3,12.46,Shipped
ORD-1154,2025-06-30,Imran Chaudhry,imran.chaudhry@example.invalid,UK,Wireless Mouse,3,43.29,Shipped
ORD-1057,2025-02-02,Faisal Khan,faisal.khan@example.invalid,Ireland,USB-C Hub,5,132.54,cancelled
ORD-1076,2025-01-07,Sana Farooq,sana.farooq@example.invalid,Ireland,Wireless Mouse,4,,Delivered
ORD-1142,2025-02-17,Usman Chaudhry,usman.chaudhry@example.invalid,PAKISTAN,Cable Organiser,2,103.96,pending
ORD-1071,2025-02-05,Nadia Farooq,nadia.farooq@example.invalid,,Cable Organiser,3,163.48,pending
ORD-1063,2025-03-13,Tariq Butt,tariq.butt@example.invalid,United Kingdom,USB-C Hub,2,137.91,Delivered
ORD-1049,2025-04-14,Usman Malik,usman.malik@example.invalid,UK,Monitor Arm,1,44.25,cancelled
ORD-1123,2025-04-24,Imran Raza,imran.raza@example.invalid,United Kingdom,Monitor Arm,1,58.19,pending
ORD-1067,2025-09-05,Sana Raza,sana.raza@example.invalid,Ireland,Webcam 1080p,2,72.36,pending
ORD-1090,2025-05-22,ZARA QURESHI,zara.qureshi@example.invalid,PAKISTAN,Webcam 1080p,2,142.78,Delivered
ORD-1139,2025-07-14,Mariam Siddiqui,mariam.siddiqui@example.invalid,PAKISTAN,Laptop Stand,2,68.87,Delivered
ORD-1087,2025-03-06,Kamran Farooq,kamran.farooq@example.invalid,PAKISTAN,Laptop Stand,4,182.58,cancelled
ORD-1136,2025-05-20,Nadia Raza,nadia.raza@example.invalid,PAKISTAN,Wireless Mouse,3,,pending
ORD-1117,2025-06-25,Laila Farooq,laila.farooq@example.invalid,United Kingdom,Mechanical Keyboard,2,126.35,pending
ORD-1044,2025-05-07,Faisal Ahmed,faisal.ahmed@example.invalid,Ireland,Monitor Arm,2,33.43,pending
ORD-1096,2025-06-23,Zara Butt,zara.butt@example.invalid,United Kingdom,Mechanical Keyboard,5,152.85,Delivered
ORD-1134,2025-04-14,Imran Raza,imran.raza@example.invalid,United Kingdom,Mechanical Keyboard,3,116.91,Delivered
ORD-1169,2025-01-20,Kamran Ahmed,kamran.ahmed@example.invalid,United Kingdom,Mechanical Keyboard,3,179.42,Shipped
ORD-1083,2025-03-04,Kamran Ahmed,kamran.ahmed@example.invalid,UK,Webcam 1080p,4,158.84,Shipped
ORD-1143,2025-03-26,Laila Chaudhry,laila.chaudhry@example.invalid,United Kingdom,Cable Organiser,4,146.92,cancelled
ORD-1053,2025-01-12,Bilal Farooq,bilal.farooq@example.invalid,PAKISTAN,Mechanical Keyboard,4,66.15,Shipped
ORD-1132,2025-06-14,Tariq Qureshi,tariq.qureshi@example.invalid,UK,Webcam 1080p,5,16.75,Delivered
ORD-1035,2025-07-04,Bilal Farooq,-,PAKISTAN,Desk Lamp,3,156.25,pending
ORD-1015,2025-07-18,Usman Sheikh,usman.sheikh@example.invalid,PAKISTAN,USB-C Hub,2,47.51,cancelled
ORD-1120,2025-04-07,Laila Butt,laila.butt@example.invalid,PAKISTAN,Monitor Arm,1,32.39,Shipped
ORD-1156,2025-06-20,Omar Butt,omar.butt@example.invalid,,Monitor Arm,,142.15,cancelled
ORD-1128,2025-03-30,Hina Raza,-,PAKISTAN,Monitor Arm,5,79.58,Shipped
ORD-1052,2025-06-28,Laila Farooq,laila.farooq@example.invalid,PAKISTAN,Monitor Arm,5,109.5,Shipped
ORD-1176,2025-02-11,Bilal Khan,bilal.khan@example.invalid,PAKISTAN,Laptop Stand,3,176.91,
ORD-1105,2025-06-12,Zara Butt,zara.butt@example.invalid,PAKISTAN,Desk Lamp,1,185.52,pending
ORD-1038,2025-04-27,Tariq Qureshi,tariq.qureshi@example.invalid,Ireland,Webcam 1080p,1,135.85,Shipped
ORD-1107,2025-06-19,Mariam Raza,mariam.raza@example.invalid,United Kingdom,Mechanical Keyboard,1,157.94,cancelled
ORD-1080,2025-01-28,Tariq Butt,tariq.butt@example.invalid,PAKISTAN,Cable Organiser,4,16.39,Delivered
ORD-1112,2025-01-13,Ayesha Chaudhry,ayesha.chaudhry@example.invalid,PAKISTAN,USB-C Hub,1,65.29,Shipped
ORD-1004,2025-06-15,Faisal Qureshi,faisal.qureshi@example.invalid,UK,USB-C Hub,2,164.63,Shipped
ORD-1048,2025-03-08,Sana Chaudhry,sana.chaudhry@example.invalid,United Kingdom,USB-C Hub,2,34.03,pending
ORD-1028,2025-06-22,Nadia Khan,nadia.khan@example.invalid,Ireland,Laptop Stand,3,27.57,
ORD-1179,2025-02-02,Zara Malik,zara.malik@example.invalid,PAKISTAN,Mechanical Keyboard,3,107.46,cancelled
